    loop_time,loop_time_min,    pos_steps,      pos_rev,       pos_mm,    dis_steps,       dis_mm,      dis_rev,  spd_us/step,   spd_step/s,    spd_rev/s,     spd_mm/s,    direction,   event_code
        1.406,        0.023,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
        2.470,        0.041,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
        3.584,        0.060,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
        4.608,        0.077,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
        5.722,        0.095,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
        6.847,        0.114,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
        7.981,        0.133,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
        9.056,        0.151,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       10.170,        0.170,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       11.224,        0.187,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       12.318,        0.205,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       13.432,        0.224,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       14.547,        0.242,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       15.641,        0.261,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       16.786,        0.280,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       17.930,        0.299,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       19.115,        0.319,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       20.209,        0.337,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       21.354,        0.356,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       22.448,        0.374,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       23.602,        0.393,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       24.686,        0.411,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       25.791,        0.430,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       26.966,        0.449,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       28.040,        0.467,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       29.124,        0.485,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       30.238,        0.504,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       31.372,        0.523,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       32.457,        0.541,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       33.531,        0.559,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       34.595,        0.577,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       35.720,        0.595,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       36.864,        0.614,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       37.968,        0.633,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       39.083,        0.651,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       40.227,        0.670,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       41.382,        0.690,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       42.566,        0.709,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       43.650,        0.727,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       44.715,        0.745,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       45.769,        0.763,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       46.954,        0.783,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       47.988,        0.800,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       49.132,        0.819,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       50.306,        0.838,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       51.451,        0.858,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       52.545,        0.876,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       53.660,        0.894,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       54.784,        0.913,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       55.908,        0.932,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       57.023,        0.950,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       58.087,        0.968,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       59.242,        0.987,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       60.356,        1.006,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       61.470,        1.024,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       62.604,        1.043,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       63.769,        1.063,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       64.914,        1.082,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       66.038,        1.101,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       67.212,        1.120,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       68.287,        1.138,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       69.441,        1.157,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       70.546,        1.176,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       71.690,        1.195,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       72.834,        1.214,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       73.939,        1.232,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       75.073,        1.251,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       76.228,        1.270,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       77.302,        1.288,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       78.486,        1.308,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       79.611,        1.327,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       80.786,        1.346,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       81.880,        1.365,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       83.034,        1.384,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       84.169,        1.403,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       85.253,        1.421,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       86.368,        1.439,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       87.502,        1.458,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       88.636,        1.477,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       89.801,        1.497,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       90.955,        1.516,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       92.100,        1.535,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       93.244,        1.554,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       94.368,        1.573,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       95.463,        1.591,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       96.628,        1.610,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       97.812,        1.630,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
       98.926,        1.649,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      100.091,        1.668,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      101.195,        1.687,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      102.280,        1.705,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      103.344,        1.722,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      104.338,        1.739,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      105.552,        1.759,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      106.677,        1.778,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      107.851,        1.798,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      109.006,        1.817,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      110.150,        1.836,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      111.315,        1.855,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      112.369,        1.873,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      113.504,        1.892,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      114.588,        1.910,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      115.702,        1.928,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      116.856,        1.948,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      117.991,        1.967,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      119.186,        1.986,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      120.310,        2.005,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      121.404,        2.023,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      122.518,        2.042,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      123.643,        2.061,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      124.788,        2.080,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      125.942,        2.099,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      127.046,        2.117,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      128.160,        2.136,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      129.255,        2.154,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      130.420,        2.174,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      131.584,        2.193,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      132.728,        2.212,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      133.873,        2.231,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      135.008,        2.250,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      136.152,        2.269,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
      137.296,        2.288,          0.0,        0.000,        0.000,            0,        0.000,        0.000,     1000.000,     1000.000,        1.250,        5.000,            1,            0
